,イベント名,開始時間,終了時間,location_id
0,巨人－中日 ,2017-08-04 16:00:00,2017-08-04 18:00:00,東京ドーム
1,巨人－中日 ,2017-08-05 12:00:00,2017-08-05 14:00:00,東京ドーム
2,巨人－中日 ,2017-08-06 12:00:00,2017-08-06 14:00:00,東京ドーム
3,サントリードリームマッチ２０１７,2017-08-07 17:00:00,2017-08-07 18:00:00,東京ドーム
4,巨人－阪神 ,2017-08-08 16:00:00,2017-08-08 18:00:00,東京ドーム
5,巨人－阪神 ,2017-08-09 16:00:00,2017-08-09 18:00:00,東京ドーム
6,巨人－阪神 ,2017-08-10 16:00:00,2017-08-10 18:00:00,東京ドーム
7,  関ジャニ∞ 「関ジャニ'sエイターテインメント　ジャム」,2017-08-13 16:30:00,2017-08-13 18:30:00,東京ドーム
8,  関ジャニ∞ 「関ジャニ'sエイターテインメント　ジャム」,2017-08-14 16:30:00,2017-08-14 18:30:00,東京ドーム
9,  関ジャニ∞ 「関ジャニ'sエイターテインメント　ジャム」,2017-08-15 16:30:00,2017-08-15 18:30:00,東京ドーム
10,  関ジャニ∞ 「関ジャニ'sエイターテインメント　ジャム」,2017-08-16 16:30:00,2017-08-16 18:30:00,東京ドーム
11,巨人－ＤｅＮＡ,2017-08-18 16:00:00,2017-08-18 18:00:00,東京ドーム
12,巨人－ＤｅＮＡ,2017-08-19 12:00:00,2017-08-19 14:00:00,東京ドーム
13,巨人－ＤｅＮＡ,2017-08-20 12:00:00,2017-08-20 14:00:00,東京ドーム
14,巨人－ヤクルト,2017-08-23 16:00:00,2017-08-23 18:00:00,東京ドーム
15,巨人－ヤクルト,2017-08-24 16:00:00,2017-08-24 18:00:00,東京ドーム
16,巨人－阪神,2017-08-25 16:00:00,2017-08-25 18:00:00,東京ドーム
17,巨人－阪神,2017-08-26 16:00:00,2017-08-26 18:00:00,東京ドーム
18,巨人－阪神,2017-08-27 12:00:00,2017-08-27 14:00:00,東京ドーム
19,巨人－広島,2017-08-29 16:00:00,2017-08-29 18:00:00,東京ドーム
20,巨人－広島,2017-08-30 16:00:00,2017-08-30 18:00:00,東京ドーム
21,巨人－広島,2017-08-31 16:00:00,2017-08-31 18:00:00,東京ドーム
