id,user_id,event_id,"created_at","updated_at"
23,17,1,"2017-07-07 05:51:01","2017-07-07 05:51:01"
24,21,1,"2017-07-07 05:52:51","2017-07-07 05:52:51"
25,11,1,"2017-07-07 05:54:22","2017-07-07 05:54:22"
26,12,1,"2017-07-07 07:55:08","2017-07-07 07:55:08"
27,14,1,"2017-07-07 12:05:49","2017-07-07 12:05:49"
28,15,1,"2017-07-09 14:33:35","2017-07-09 14:33:35"
31,13,1,"2017-07-10 03:03:24","2017-07-10 03:03:24"
32,15,2,"2017-07-10 05:26:03","2017-07-10 05:26:03"
