id,"name",facility_id,"address","phone_number","url","created_at","updated_at",latitude,longitude,"image"
1,"鳥貴族 水道橋西口店",4,"東京都千代田区 三崎町2丁目20番8号",NULL,"https://r.gnavi.co.jp/75c73jfp0000/","2017-06-17 02:27:03","2017-06-17 02:27:03",35.7018202,139.7525146,"//uds.gnst.jp/rest/img/75c73jfp0000/s_0nhp.jpg?1496799535"
2,"こだわりや",6,"東京都文京区本郷５丁目２８ 本郷5-28-2 ライオンズマンション赤門前101",NULL,"https://r.gnavi.co.jp/a9se1b170000/","2017-07-05 06:16:30","2017-07-05 06:16:30",35.711082,139.759616,"https://tblg.k-img.com/restaurant/images/Rvw/16238/640x640_rect_16238228.jpg"
